GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AntiqueStore,org.fis.student.controllers,stockController.new EventHandler() {...},30,6,0,0,10,1,1,1,1,1
AntiqueStore,org.fis.student.controllers,cartController,120,116,3,3,27,20,5,5,3,4
AntiqueStore,org.fis.student.controllers,LogInController,156,3,2,0,48,1,3,1,2,1
AntiqueStore,org.fis.student.controllers,manageOrderController,637,0,24,0,130,0,23,0,11,0
AntiqueStore,org.fis.student.controllers,WrongPasswordController,35,0,0,0,11,0,2,0,2,0
AntiqueStore,org.fis.student.controllers,manageDonationsController,149,0,4,0,38,0,6,0,4,0
AntiqueStore,org.fis.student.controllers,AdminViewController,99,0,0,0,31,0,4,0,4,0
AntiqueStore,org.fis.student.controllers,PlaceOrderFormController,106,0,10,0,21,0,8,0,3,0
AntiqueStore,org.fis.student.controllers,viewBooksController,76,103,0,4,23,22,2,6,2,4
AntiqueStore,org.fis.student.controllers,donateFormController,139,17,16,0,30,6,10,2,2,2
AntiqueStore,org.fis.student.controllers,stockController,102,194,2,8,29,48,5,9,3,6
AntiqueStore,org.fis.student.services,BookService,3,140,0,4,1,28,1,4,1,2
AntiqueStore,org.fis.student.services,OrderService,186,129,4,4,32,20,4,3,2,1
AntiqueStore,org.fis.student.services,DonationService,3,156,0,4,1,33,1,4,1,2
AntiqueStore,org.fis.student.user,ReadJsonFile,21,45,4,4,6,11,5,3,2,2
AntiqueStore,org.fis.student,Donation,0,146,8,10,0,26,8,11,0,10
AntiqueStore,org.fis.student,Book,0,140,5,7,0,24,5,11,0,10
AntiqueStore,org.fis.student,Client,0,73,5,7,0,18,5,8,0,7
AntiqueStore,org.fis.student,Main,26,0,0,0,8,0,3,0,3,0
AntiqueStore,org.fis.student,Order,0,23,0,0,0,8,0,5,0,5
AntiqueStore,org.fis.student,Cart,0,20,0,0,0,9,0,5,0,5
AntiqueStore,org.fis.student.exception,WrongPasswordException,0,3,0,0,0,2,0,1,0,1
